iter	RMSE
0	23472.95466
1	23359.58211
2	23200.94444
3	23020.22715
4	22793.21127
5	22652.72518
6	22591.44872
7	22418.67613
8	22230.92076
9	22062.05095
10	21955.32349
11	21841.78125
12	21716.16723
13	21521.87892
14	21354.89874
15	21219.10935
16	21040.6412
17	20833.82168
18	20727.13071
19	20596.25384
20	20460.32487
21	20348.67546
22	20197.80995
23	20128.56887
24	19947.04638
25	19753.1422
26	19632.11615
27	19549.57094
28	19449.61192
29	19377.98398
30	19250.0999
31	19165.9493
32	19067.46941
33	18890.50929
34	18727.53773
35	18666.45674
36	18627.70762
37	18496.91425
38	18421.54767
39	18270.64064
40	18137.43647
41	18050.08825
42	17972.20046
43	17900.70688
44	17794.09686
45	17689.43327
46	17579.77498
47	17435.88141
48	17314.70585
49	17199.89552
50	17102.79471
51	16979.8839
52	16915.22368
53	16835.15191
54	16750.00457
55	16668.67446
56	16556.1129
57	16454.4738
58	16323.01963
59	16255.72817
60	16155.66664
61	16092.0033
62	16012.88972
63	15975.36575
64	15869.63201
65	15776.1635
66	15702.32932
67	15591.31574
68	15550.236
69	15426.2155
70	15397.41228
71	15344.02959
72	15269.03122
73	15169.61614
74	15072.8989
75	14990.75954
76	14880.70468
77	14775.85546
78	14656.25885
79	14625.72099
80	14537.61084
81	14432.78091
82	14368.83079
83	14307.36421
84	14207.00465
85	14132.62415
86	14025.99167
87	13958.75731
88	13878.66532
89	13768.94244
90	13687.80728
91	13598.21241
92	13513.72347
93	13425.2317
94	13339.59304
95	13250.90283
96	13186.82967
97	13096.3688
98	13052.82438
99	12975.54258
100	12912.04935
101	12876.50161
102	12768.45442
103	12666.9308
104	12610.18167
105	12549.41574
106	12485.51931
107	12459.40834
108	12406.15035
109	12328.43466
110	12286.7698
111	12237.88489
112	12214.1999
113	12145.49799
114	12086.79963
115	12021.47649
116	11986.22014
117	11933.69227
118	11858.70109
119	11796.76628
120	11727.7979
121	11658.02012
122	11605.53084
123	11563.25247
124	11527.00476
125	11477.49166
126	11427.90068
127	11377.90722
128	11302.742
129	11254.94534
130	11201.38614
131	11148.24568
132	11063.50164
133	11015.01421
134	10992.65699
135	10964.76453
136	10916.02824
137	10885.45553
138	10819.02473
139	10784.40793
140	10706.41479
141	10662.87382
142	10637.13585
143	10606.8414
144	10567.69075
145	10523.87225
146	10457.77591
147	10413.96338
148	10383.0466
149	10355.73699
150	10292.39275
151	10222.08957
152	10170.42404
153	10144.94
154	10106.07725
155	10059.57123
156	10017.36088
157	9976.044372
158	9917.358043
159	9882.826022
160	9826.9792
161	9772.718538
162	9704.606274
163	9645.061753
164	9601.010027
165	9565.682799
166	9520.641031
167	9480.667936
168	9426.78377
169	9361.768853
170	9324.684935
171	9310.288544
172	9272.550342
173	9224.105858
174	9208.011506
175	9167.798173
176	9083.280056
177	9048.689874
178	8984.092464
179	8926.722798
180	8902.480768
181	8860.538701
182	8816.72442
183	8780.248841
184	8706.007501
185	8640.420516
186	8583.677497
187	8556.359138
188	8541.02855
189	8503.556603
190	8475.856058
191	8432.091343
192	8396.198679
193	8355.462999
194	8294.847104
195	8272.73717
196	8207.890378
197	8190.318907
198	8153.423981
199	8132.811741
200	8111.888175
201	8081.502218
202	8045.97975
203	7993.278517
204	7962.116977
205	7933.072022
206	7890.649719
207	7857.900205
208	7798.892893
209	7758.064655
210	7723.757726
211	7665.594762
212	7625.895488
213	7581.511906
214	7523.811659
215	7468.491183
216	7435.653153
217	7420.182642
218	7410.049994
219	7352.233615
220	7305.147042
221	7289.73071
222	7230.806926
223	7193.078586
224	7183.486489
225	7118.497804
226	7108.715676
227	7074.877614
228	7034.725882
229	6994.836043
230	6985.992546
231	6976.817232
232	6940.230063
233	6898.617711
234	6850.238389
235	6817.524508
236	6786.151819
